source,target
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Deductive_reasoning
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Uncertainty
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Probability
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Economics
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Knowledge_representation
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Knowledge_engineering
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Database
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Knowledge_base
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Ontology_(information_science)
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Default_reasoning
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Knowledge_acquisition
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Rational_agent
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Automated_planning
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Automated_decision-making
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Utility
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Expected_utility
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Utility
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Automated_planning_and_scheduling#classical_planning
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Inverse_reinforcement_learning
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Information_value_theory
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Intractably
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Markov_decision_process
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Finite-state_machine
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Reward_function
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Reinforcement_learning#Policy
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Policy_iteration
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Heuristic
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Game_theory
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Machine_learning
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Unsupervised_learning
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Supervised_learning
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Statistical_classification
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Regression_analysis
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Reinforcement_learning
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Transfer_learning
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Deep_learning
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Artificial_neural_networks
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Computational_learning_theory
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Computational_complexity
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Sample_complexity
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Optimization
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Natural_language_processing
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/English_(language)
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Speech_recognition
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Speech_synthesis
